"temp","solid","total","glucose"
"115","0.35","7.82","0.623"
"137","0.44","8.15","0.097"
"122","0.36","6.87","0.553"
"130","0.25","4.88","0.313"
"146","0.31","7.39","0.078"
"106","0.24","9.09","0.252"
"133","0.28","9.31","0.223"
"116","0.41","9.91","0.641"
"132","0.16","8.52","0.094"
"186","0.15","8.98","0.023"
"153","0.23","10.72","0.037"
"114","0.2","6.07","0.436"
"191","0.1","8.24","0.035"
"134","0.17","9.23","0.061"
"141","0.16","7.54","0.143"
"153","0.27","6.41","0.088"
"109","0.11","7.82","0.148"
"195","0.13","8.3","0.046"
"135","0.18","6.17","0.093"
"118","0.14","8","0.231"
"184","0.19","8.5","0.028"
"189","0.18","7.57","0.032"
"150","0.27","7.53","0.068"
"119","0.14","9.41","0.147"
"115","0.41","7.96","0.131"
"196","0.58","7.78","0.057"
"155","0.53","10.69","0.023"
"152","0.59","9.09","0.039"
"111","0.74","7.78","0.224"
"147","0.64","8.17","0.056"
"162","0.89","10.13","0.044"
"181","0.74","8","0.039"
"133","0.18","7.2","0.069"
"185","0.49","8.7","0.078"
"153","0.26","8.05","0.057"
"115","0.43","9.33","0.535"
"190","0.31","8.53","0.044"
"135","0.36","9.58","0.107"
"141","0.31","9.12","0.287"
"153","0.33","6.94","0.092"
"145","0.35","7.74","0.109"
"132","0.25","8.1","0.232"
"197","0.22","6.01","0.051"
"169","0.17","8.72","0.028"
"186","0.17","5.59","0.035"
"124","0.18","5.52","0.421"
"192","0.15","5.51","0.041"
"179","0.28","10.41","0.039"
"189","0.42","6.69","0.046"
"138","0.52","6.49","0.234"
"187","0.52","10.18","0.041"
"189","0.59","10.24","0.041"
"136","0.46","10.11","0.613"
"123","0.39","8.54","0.825"
"121","0.55","10.87","0.646"
"133","0.74","8.06","1.362"
"154","0.17","5.58","0.056"
"146","0.14","5.77","0.102"
"182","0.18","5.39","0.05"
"120","0.26","6.81","1.231"
"165","0.22","5.33","0.07"
"128","0.17","4.55","1.129"
"192","0.21","4.91","0.052"
"172","0.19","5.51","0.049"
"125","0.39","6","3.24"
"125","0.08","5.3","1.94"
"125","0.19","6.6","1.79"
"125","0.31","3.3","4.15"
"125","0.23","4","3.48"
"125","0.16","2.6","4.56"
"125","0.08","4.6","1.26"
"125","0.12","2","3.18"
